Elapsed time,AECG1,AECG2,AECG3,AECG4
'0:04.779',5.7,2.6,6.4,7.6
'0:04.780',5.7,1.7,6.7,7.8
'0:04.781',5.7,1,6.9,8
'0:04.782',5.7,0.7,7.1,8.3
'0:04.783',5.7,0.8,7.4,8.6
'0:04.784',5.6,1.3,7.6,8.9
'0:04.785',5.6,2,7.8,9.2
'0:04.786',5.6,2.9,8.1,9.7
'0:04.787',5.6,3.9,8.3,10.2
'0:04.788',5.5,4.9,8.4,10.8
'0:04.789',5.5,5.9,8.5,11.4
'0:04.790',5.5,6.9,8.6,11.9
'0:04.791',5.5,7.7,8.5,12.4
'0:04.792',5.5,8.1,8.4,12.8
'0:04.793',5.4,8.3,8.3,13.1
'0:04.794',5.3,8.4,8.1,13.3
'0:04.795',5.1,8.4,7.8,13.2
'0:04.796',4.9,8.3,7.4,13
'0:04.797',4.7,8.2,6.9,12.5
'0:04.798',4.5,8.1,6.4,11.7
'0:04.799',4.4,7.9,5.8,10.8
'0:04.800',4.3,8,5.1,9.8
'0:04.801',4.2,8.2,4.4,8.8
'0:04.802',4.2,8.5,3.6,7.6
'0:04.803',4.2,8.7,2.8,6.4
'0:04.804',4.3,8.6,2,5.1
'0:04.805',4.4,8.5,1.2,3.8
'0:04.806',4.5,8.2,0.3,2.6
'0:04.807',4.7,7.7,-0.7,1.3
'0:04.808',5.1,6.9,-1.7,0
'0:04.809',5.5,5.4,-2.9,-1.4
'0:04.810',6.1,3.3,-4.1,-2.9
'0:04.811',6.7,0.7,-5.3,-4.5
'0:04.812',7.4,-2.1,-6.7,-6
'0:04.813',8.2,-4.9,-8.1,-7.6
'0:04.814',9.1,-8.1,-9.6,-9.2
'0:04.815',10.1,-11.6,-11.3,-10.8
'0:04.816',11.1,-15.6,-13.1,-12.5
'0:04.817',12.2,-19.8,-15,-14.4
'0:04.818',13.4,-24.2,-17,-16.5
'0:04.819',14.5,-29,-19.1,-18.7
'0:04.820',15.5,-34.1,-21.2,-21.1
'0:04.821',16.6,-39.6,-23.5,-23.7
'0:04.822',17.6,-45.3,-25.7,-26.5
'0:04.823',18.5,-51.4,-28,-29.4
'0:04.824',19.1,-57.6,-30.2,-32.6
'0:04.825',19.2,-63.9,-32.3,-36
'0:04.826',18.8,-70.4,-34.2,-39.5
'0:04.827',17.8,-76.7,-35.9,-43.1
'0:04.828',16,-82.8,-37.1,-46.7
'0:04.829',13.5,-88.8,-37.9,-50.2
'0:04.830',10.1,-95,-38.3,-53.8
'0:04.831',6.1,-101.4,-38.2,-57.1
'0:04.832',1.7,-107.4,-37.7,-60.3
'0:04.833',-2.7,-112.1,-37.1,-63.1
'0:04.834',-6.4,-115.1,-36.5,-65.3
'0:04.835',-9.2,-117,-35.9,-66.8
'0:04.836',-11,-118.4,-35.4,-67.7
'0:04.837',-11.9,-119.8,-35,-68
'0:04.838',-12.1,-120.9,-34.6,-67.5
'0:04.839',-11.9,-120.6,-34.1,-66.3
'0:04.840',-11.7,-118.3,-33.3,-64.4
'0:04.841',-11.7,-114.1,-31.9,-61.7
'0:04.842',-12.1,-108.6,-30,-58.4
'0:04.843',-13.2,-102.4,-27.5,-54.6
'0:04.844',-14.7,-95.6,-24.5,-50.3
'0:04.845',-16.6,-87.8,-21.1,-45.6
'0:04.846',-18.6,-78.7,-17.5,-40.6
'0:04.847',-20.9,-68.7,-13.6,-35.3
'0:04.848',-23.2,-58.3,-9.6,-30
'0:04.849',-25.7,-47.9,-5.5,-24.6
'0:04.850',-28.3,-37.7,-1.4,-19.4
'0:04.851',-31,-27.9,2.6,-14.2
'0:04.852',-33.8,-18.3,6.4,-9.4
'0:04.853',-36.7,-9.4,10.2,-4.9
'0:04.854',-39.6,-1.3,13.9,-1
'0:04.855',-42.6,5.8,17.2,2.4
'0:04.856',-45.2,11.7,20.3,5.5
'0:04.857',-47.5,16.6,22.9,8.3
'0:04.858',-49,20.5,25,10.7
'0:04.859',-49.8,23.5,26.5,12.4
'0:04.860',-49.6,25.8,27.3,13.3
'0:04.861',-48.2,27.3,27.4,13.7
'0:04.862',-45.5,28.3,26.7,13.8
'0:04.863',-41.6,28.7,25.4,13.9
'0:04.864',-36.6,28.4,23.4,13.9
'0:04.865',-30.7,27.6,20.8,13.8
'0:04.866',-24.1,26.6,17.9,13.4
'0:04.867',-17.2,25.6,14.7,12.9
'0:04.868',-10.1,24.7,11.4,12.4
'0:04.869',-3.3,23.7,8.2,11.9
'0:04.870',3.1,22.6,5.1,11.5
'0:04.871',8.9,21.6,2.3,11
'0:04.872',14,20.9,-0.3,10.4
'0:04.873',18.3,20.6,-2.4,9.8
'0:04.874',21.8,20.7,-4.2,9.3
'0:04.875',24.5,20.9,-5.7,8.8
'0:04.876',26.5,20.9,-6.9,8.3
'0:04.877',27.9,20.8,-7.8,7.9
'0:04.878',28.7,20.7,-8.4,7.4
'0:04.879',29.2,20.7,-8.7,7.1
'0:04.880',29.2,20.5,-8.9,6.8
'0:04.881',28.9,19.8,-9,6.6
'0:04.882',28.3,18.7,-9,6.4
'0:04.883',27.5,17.2,-9,6.2
'0:04.884',26.5,15.8,-8.9,6
'0:04.885',25.5,14.6,-8.7,5.9
'0:04.886',24.5,13.4,-8.5,5.7
'0:04.887',23.4,12.2,-8.2,5.5
'0:04.888',22.4,11.1,-8,5.3
'0:04.889',21.2,10.1,-7.7,4.9
'0:04.890',20.1,9.4,-7.4,4.5
'0:04.891',18.9,8.9,-7.1,4
'0:04.892',17.8,8.4,-6.7,3.5
'0:04.893',16.8,7.7,-6.4,2.9
'0:04.894',15.8,6.9,-6,2.4
'0:04.895',14.8,6.1,-5.6,1.8
'0:04.896',13.8,5.3,-5.2,1.4
'0:04.897',12.8,4.5,-4.8,1
'0:04.898',11.9,3.6,-4.4,0.7
'0:04.899',10.9,2.7,-4,0.5
'0:04.900',10,1.8,-3.5,0.4
'0:04.901',9.1,0.9,-3.2,0.4
'0:04.902',8.2,0.1,-2.7,0.5
'0:04.903',7.3,-0.7,-2.3,0.7
'0:04.904',6.5,-1.5,-2,0.9
'0:04.905',5.7,-2.3,-1.6,1.2
'0:04.906',5,-3,-1.3,1.4
'0:04.907',4.3,-3.8,-1,1.6
'0:04.908',3.7,-4.7,-0.7,1.7
'0:04.909',3.1,-5.8,-0.5,1.8
'0:04.910',2.7,-7,-0.3,1.9
'0:04.911',2.4,-7.9,-0.2,1.9
'0:04.912',2.2,-8.4,-0.1,1.9
'0:04.913',2,-8.6,-0.1,1.9
'0:04.914',1.8,-8.6,0,1.9
'0:04.915',1.6,-8.4,0,1.9
'0:04.916',1.6,-7.8,0,1.8
'0:04.917',1.6,-6.6,-0.1,1.7
'0:04.918',1.6,-4.9,0,1.6
'0:04.919',1.7,-3,0,1.3
'0:04.920',1.8,-1.1,0,1.1
'0:04.921',1.9,0.4,0,0.8
'0:04.922',1.9,1.6,0,0.5
'0:04.923',1.9,2.7,0,0.2
'0:04.924',1.8,3.6,-0.1,-0.1
'0:04.925',1.9,4.2,-0.1,-0.4
'0:04.926',2,4.4,-0.2,-0.7
'0:04.927',2.1,4.2,-0.2,-0.7
'0:04.928',2.1,3.7,-0.2,-0.7
'0:04.929',2.2,3.2,-0.2,-0.6
'0:04.930',2.2,2.5,-0.2,-0.3
'0:04.931',2.2,1.7,-0.2,0
'0:04.932',2.2,0.9,-0.3,0.5
'0:04.933',2.2,0.3,-0.3,1.1
'0:04.934',2.2,0,-0.4,1.7
'0:04.935',2.3,-0.1,-0.5,2.2
'0:04.936',2.4,-0.4,-0.5,2.7
'0:04.937',2.4,-1,-0.6,3.1
'0:04.938',2.5,-2,-0.7,3.4
'0:04.939',2.5,-3,-0.8,3.6
'0:04.940',2.5,-3.6,-0.8,3.5
'0:04.941',2.5,-3.6,-0.8,3.2
'0:04.942',2.4,-3.2,-0.8,2.7
'0:04.943',2.3,-2.8,-0.8,2.1
'0:04.944',2.1,-2.7,-0.8,1.5
'0:04.945',2,-2.9,-0.8,0.9
'0:04.946',1.8,-3.7,-0.8,0.3
'0:04.947',1.6,-4.9,-0.7,-0.4
'0:04.948',1.4,-6.5,-0.7,-1
'0:04.949',1.1,-8.1,-0.6,-1.6
'0:04.950',0.9,-9.6,-0.5,-2
'0:04.951',0.7,-11,-0.4,-2.3
'0:04.952',0.5,-12.4,-0.4,-2.6
'0:04.953',0.6,-13.7,-0.4,-2.8
'0:04.954',0.8,-14.7,-0.5,-3.1
'0:04.955',1.3,-15.2,-0.7,-3.4
'0:04.956',2,-14.7,-0.9,-3.8
'0:04.957',2.8,-13.4,-1.2,-4.3
'0:04.958',3.9,-11.7,-1.5,-4.9
'0:04.959',5.2,-9.8,-1.7,-5.5
'0:04.960',6.5,-7.9,-2,-6.2
'0:04.961',7.8,-5.9,-2.2,-6.9
'0:04.962',9,-3.6,-2.3,-7.6
'0:04.963',10,-1.5,-2.2,-8.4
'0:04.964',10.7,0.1,-2,-9.1
'0:04.965',11,1.1,-1.7,-9.6
'0:04.966',11.2,1.5,-1.5,-9.9
'0:04.967',11.4,1.6,-1.4,-9.7
'0:04.968',11.4,1.6,-1.5,-9.1
'0:04.969',11.3,1.4,-1.8,-8.1
'0:04.970',10.9,0.8,-2,-6.9
'0:04.971',10,-0.2,-2,-5.8
'0:04.972',8.8,-1.2,-1.8,-4.6
'0:04.973',7.3,-1.8,-1.5,-3.6
'0:04.974',5.7,-2,-1.1,-2.7
'0:04.975',4.2,-1.8,-0.7,-2
'0:04.976',2.9,-1.7,-0.4,-1.4
'0:04.977',1.9,-1.6,-0.2,-1
'0:04.978',1.2,-1.5,-0.1,-0.8
'0:04.979',0.7,-1.3,-0.1,-0.6
'0:04.980',0.5,-0.9,-0.2,-0.5
'0:04.981',0.5,-0.6,-0.3,-0.5
'0:04.982',0.6,-0.7,-0.5,-0.5
'0:04.983',0.7,-1.1,-0.6,-0.6
'0:04.984',0.9,-1.8,-0.7,-0.7
'0:04.985',0.9,-2.6,-0.7,-0.8
'0:04.986',0.9,-3.4,-0.7,-0.8
'0:04.987',0.9,-4.3,-0.7,-0.8
'0:04.988',0.9,-5.3,-0.7,-0.7
'0:04.989',0.9,-6.2,-0.7,-0.6
'0:04.990',0.9,-7.1,-0.8,-0.5
'0:04.991',1,-7.8,-0.8,-0.5
'0:04.992',1.1,-8.4,-0.9,-0.4
'0:04.993',1.1,-8.8,-1,-0.4
'0:04.994',1.2,-9.1,-1.1,-0.3
'0:04.995',1.2,-9.2,-1.2,-0.3
'0:04.996',1.2,-9.1,-1.3,-0.3
'0:04.997',1.3,-9.1,-1.4,-0.4
'0:04.998',1.3,-8.8,-1.4,-0.4
'0:04.999',1.4,-8.4,-1.4,-0.5
'0:05.000',1.5,-7.7,-1.4,-0.7
'0:05.001',1.5,-6.8,-1.4,-0.9
'0:05.002',1.6,-6,-1.4,-1.1
'0:05.003',1.6,-5.4,-1.4,-1.4
'0:05.004',1.7,-4.8,-1.4,-1.9
'0:05.005',1.8,-4.3,-1.4,-2.4
'0:05.006',2,-3.7,-1.4,-3
'0:05.007',2.1,-3.2,-1.4,-3.6
'0:05.008',2.2,-3,-1.5,-4.1
'0:05.009',2.3,-3.3,-1.5,-4.6
'0:05.010',2.4,-4,-1.6,-5
'0:05.011',2.4,-4.8,-1.7,-5.4
'0:05.012',2.5,-5.6,-1.7,-5.7
'0:05.013',2.5,-6.4,-1.8,-5.7
'0:05.014',2.5,-7.1,-1.9,-5.6
'0:05.015',2.5,-7.9,-2,-5.3
'0:05.016',2.5,-8.6,-2.2,-4.9
'0:05.017',2.4,-9,-2.4,-4.6
'0:05.018',2.4,-9.1,-2.5,-4.1
'0:05.019',2.4,-9,-2.7,-3.8
'0:05.020',2.5,-8.7,-2.8,-3.4
'0:05.021',2.5,-8.5,-2.9,-3.2
'0:05.022',2.5,-8.3,-3,-3.1
'0:05.023',2.5,-8,-3,-3
'0:05.024',2.5,-7.7,-3,-2.9
'0:05.025',2.6,-7.4,-3,-2.8
'0:05.026',2.6,-7.3,-3,-2.8
'0:05.027',2.7,-7.3,-3,-2.8
'0:05.028',2.7,-7.2,-3,-2.8
'0:05.029',2.8,-7.3,-3,-2.9
'0:05.030',2.9,-7.5,-3,-2.9
'0:05.031',3,-8.1,-3,-2.9
'0:05.032',3.1,-8.7,-3.1,-2.9
'0:05.033',3.2,-9.1,-3.2,-3
'0:05.034',3.3,-9.1,-3.2,-3.1
'0:05.035',3.3,-8.9,-3.3,-3.2
'0:05.036',3.4,-8.8,-3.3,-3.4
'0:05.037',3.4,-9.1,-3.4,-3.5
'0:05.038',3.5,-9.7,-3.4,-3.6
'0:05.039',3.5,-10.2,-3.5,-3.8
'0:05.040',3.5,-10.2,-3.6,-3.9
'0:05.041',3.5,-9.7,-3.6,-4.1
'0:05.042',3.5,-9,-3.7,-4.4
'0:05.043',3.6,-8.4,-3.8,-4.6
'0:05.044',3.7,-8.1,-4,-4.9
'0:05.045',3.8,-8,-4.1,-5.2
'0:05.046',3.8,-8.1,-4.2,-5.5
'0:05.047',3.8,-8.4,-4.3,-5.9
'0:05.048',3.9,-9,-4.4,-6.2
'0:05.049',3.9,-9.8,-4.5,-6.5
'0:05.050',4,-10.8,-4.5,-7
'0:05.051',4,-11.9,-4.5,-7.3
'0:05.052',4,-13,-4.5,-7.6
'0:05.053',4,-14.2,-4.5,-7.7
'0:05.054',4,-15.5,-4.5,-7.5
'0:05.055',4.1,-16.7,-4.5,-7.2
'0:05.056',4.2,-17.8,-4.5,-7.3
'0:05.057',4.3,-18.4,-4.5,-7.6
'0:05.058',4.3,-18.7,-4.4,-7.9
'0:05.059',4.3,-18.8,-4.5,-7.9
'0:05.060',4.3,-18.8,-4.5,-7.5
'0:05.061',4.3,-18.5,-4.6,-6.7
'0:05.062',4.3,-18,-4.7,-5.9
'0:05.063',4.4,-17.2,-4.7,-5.6
'0:05.064',4.5,-16,-4.8,-5.6
'0:05.065',4.6,-14.6,-4.8,-5.7
'0:05.066',4.7,-13.1,-4.8,-5.8
'0:05.067',4.8,-11.8,-4.9,-5.9
'0:05.068',4.9,-10.5,-4.9,-6
'0:05.069',5,-9.4,-4.9,-6.4
'0:05.070',5,-8.4,-5,-6.8
'0:05.071',5,-7.6,-5,-7.2
'0:05.072',5,-7,-5,-7.4
'0:05.073',5.1,-6.7,-5.1,-7.6
'0:05.074',5.1,-6.7,-5.1,-7.8
'0:05.075',5.2,-6.9,-5.1,-8.1
'0:05.076',5.3,-7.2,-5.1,-8.3
'0:05.077',5.4,-7.7,-5.1,-8.4
'0:05.078',5.4,-8.2,-5.1,-8.5
'0:05.079',5.4,-8.7,-5.1,-8.4
'0:05.080',5.5,-9.3,-5.1,-8.4
'0:05.081',5.6,-9.8,-5.1,-8.4
'0:05.082',5.7,-10.1,-5.1,-8.4
'0:05.083',5.8,-10.2,-5.1,-8.4
'0:05.084',5.9,-10.2,-5.1,-8.3
'0:05.085',5.9,-10.1,-5.2,-8.2
'0:05.086',5.9,-9.9,-5.2,-8.2
'0:05.087',5.8,-9.8,-5.2,-8.3
'0:05.088',5.7,-9.6,-5.2,-8.4
'0:05.089',5.6,-9.4,-5.2,-8.6
'0:05.090',5.6,-9.1,-5.2,-8.9
'0:05.091',5.6,-8.9,-5.1,-9.1
'0:05.092',5.6,-8.8,-5.1,-9.5
'0:05.093',5.5,-9,-5,-9.8
'0:05.094',5.5,-9.3,-4.9,-10.3
'0:05.095',5.4,-9.7,-4.7,-10.7
'0:05.096',5.3,-10.1,-4.6,-11
'0:05.097',5.2,-10.6,-4.5,-11.1
'0:05.098',5,-11.1,-4.3,-11.2
'0:05.099',4.8,-11.6,-4.2,-11
'0:05.100',4.6,-12.1,-4,-10.8
'0:05.101',4.4,-12.5,-3.8,-10.4
'0:05.102',4.2,-12.8,-3.6,-9.8
'0:05.103',3.9,-13,-3.5,-9.1
'0:05.104',3.7,-13.1,-3.3,-8.3
'0:05.105',3.5,-13.3,-3.2,-7.4
'0:05.106',3.3,-13.4,-3,-6.6
'0:05.107',3,-13.6,-2.9,-5.8
'0:05.108',2.7,-13.7,-2.7,-5.2
'0:05.109',2.4,-13.8,-2.6,-4.6
'0:05.110',2.1,-13.9,-2.4,-4
'0:05.111',1.7,-13.9,-2.3,-3.6
'0:05.112',1.4,-13.8,-2.2,-3.3
'0:05.113',1,-13.6,-2.1,-3.2
'0:05.114',0.7,-13.5,-1.9,-3.3
'0:05.115',0.2,-13.2,-1.8,-3.6
'0:05.116',-0.2,-13,-1.6,-4
'0:05.117',-0.7,-12.8,-1.5,-4.3
'0:05.118',-1.1,-12.6,-1.3,-4.6
'0:05.119',-1.5,-12.5,-1.1,-4.9
'0:05.120',-2,-12.3,-0.9,-5.3
'0:05.121',-2.4,-12.3,-0.7,-5.7
'0:05.122',-2.7,-12.2,-0.5,-6.1
'0:05.123',-3,-12.2,-0.3,-6.3
'0:05.124',-3.4,-12.1,-0.1,-6.5
'0:05.125',-3.6,-12.1,0.1,-6.4
'0:05.126',-4,-12.2,0.3,-6.4
'0:05.127',-4.3,-12.3,0.5,-6.4
'0:05.128',-4.6,-12.2,0.7,-6.4
'0:05.129',-4.8,-12.1,0.8,-6.4
'0:05.130',-5,-12,1,-6.4
'0:05.131',-5.1,-11.8,1.1,-6.4
'0:05.132',-5.3,-11.7,1.2,-6.4
'0:05.133',-5.4,-11.5,1.3,-6.5
'0:05.134',-5.6,-11.3,1.3,-6.6
'0:05.135',-5.8,-10.9,1.4,-6.6
'0:05.136',-5.9,-10.7,1.4,-6.6
'0:05.137',-6,-10.5,1.5,-6.5
'0:05.138',-6.1,-10.5,1.5,-6.4
'0:05.139',-6.2,-10.4,1.5,-6.3
'0:05.140',-6.3,-10.1,1.5,-6
'0:05.141',-6.4,-9.7,1.5,-5.6
'0:05.142',-6.5,-9.4,1.6,-5.1
'0:05.143',-6.7,-9.1,1.7,-4.4
'0:05.144',-6.8,-8.9,1.7,-3.7
'0:05.145',-6.9,-8.6,1.7,-2.9
'0:05.146',-6.8,-8.3,1.8,-2.1
'0:05.147',-6.8,-8,1.8,-1.4
'0:05.148',-6.7,-7.7,1.8,-0.8
'0:05.149',-6.6,-7.4,1.8,-0.2
'0:05.150',-6.4,-7.2,1.8,0.2
'0:05.151',-6.2,-6.9,1.7,0.7
'0:05.152',-6,-6.6,1.6,1
'0:05.153',-5.8,-6.3,1.5,1.1
'0:05.154',-5.6,-5.9,1.5,0.9
'0:05.155',-5.4,-5.5,1.5,0.6
'0:05.156',-5.2,-5.1,1.4,0.6
'0:05.157',-4.9,-4.7,1.4,0.9
'0:05.158',-4.8,-4.3,1.3,1.3
'0:05.159',-4.6,-3.9,1.2,1.4
'0:05.160',-4.5,-3.5,1.2,0.9
'0:05.161',-4.3,-3.2,1.3,0
'0:05.162',-4.2,-2.8,1.3,-0.9
'0:05.163',-4.1,-2.6,1.3,-1.5
'0:05.164',-4,-2.4,1.2,-1.7
'0:05.165',-3.9,-2.3,1.1,-1.8
'0:05.166',-3.9,-2.2,1.1,-2
'0:05.167',-3.8,-2.2,1,-2.2
'0:05.168',-3.8,-2.1,1,-2.6
'0:05.169',-3.7,-2.1,1,-2.8
'0:05.170',-3.6,-2.1,1,-2.8
'0:05.171',-3.6,-2.1,1.1,-2.8
'0:05.172',-3.5,-2.1,1.1,-2.9
'0:05.173',-3.3,-2.1,1.1,-3
'0:05.174',-3,-2,1,-3.1
'0:05.175',-2.8,-1.8,1,-3.1
'0:05.176',-2.6,-1.8,1,-3
'0:05.177',-2.4,-1.7,0.9,-2.9
'0:05.178',-2.2,-1.6,0.8,-2.7
'0:05.179',-2,-1.4,0.8,-2.5
'0:05.180',-1.8,-1.2,0.7,-2.2
'0:05.181',-1.7,-1,0.7,-1.9
'0:05.182',-1.6,-0.8,0.6,-1.6
'0:05.183',-1.5,-0.7,0.6,-1.3
'0:05.184',-1.5,-0.7,0.5,-1
'0:05.185',-1.4,-0.6,0.4,-0.7
'0:05.186',-1.4,-0.6,0.3,-0.5
'0:05.187',-1.4,-0.6,0.3,-0.3
'0:05.188',-1.3,-0.7,0.3,-0.2
'0:05.189',-1.3,-0.9,0.3,0.1
'0:05.190',-1.3,-1.1,0.3,0.3
'0:05.191',-1.2,-1.4,0.3,0.4
'0:05.192',-1.2,-1.6,0.3,0.5
'0:05.193',-1.1,-1.8,0.3,0.6
'0:05.194',-1,-1.9,0.3,0.7
'0:05.195',-1,-1.9,0.4,0.8
'0:05.196',-0.9,-1.9,0.5,0.9
'0:05.197',-0.9,-1.8,0.6,1
'0:05.198',-0.9,-1.5,0.7,1
'0:05.199',-0.9,-1.2,0.7,1.1
'0:05.200',-1,-0.6,0.7,1
'0:05.201',-1,0,0.7,1
'0:05.202',-0.9,0.6,0.8,0.9
'0:05.203',-0.9,1.1,0.8,0.8
'0:05.204',-0.9,1.5,0.7,0.7
'0:05.205',-0.8,1.8,0.7,0.6
'0:05.206',-0.9,2.2,0.6,0.5
'0:05.207',-0.9,2.4,0.6,0.4
'0:05.208',-0.9,2.6,0.5,0.3
'0:05.209',-1,2.5,0.4,0.1
'0:05.210',-0.9,2.3,0.3,-0.1
'0:05.211',-0.9,2,0.3,-0.3
'0:05.212',-0.9,1.7,0.2,-0.4
'0:05.213',-0.9,1.4,0.2,-0.5
'0:05.214',-0.9,1.1,0.1,-0.6
'0:05.215',-1,0.9,0.1,-0.7
'0:05.216',-1.1,0.6,0.1,-0.9
'0:05.217',-1.2,0.3,0,-1
'0:05.218',-1.2,0.2,0,-1.1
'0:05.219',-1.1,0.1,0.1,-1.1
'0:05.220',-1.1,0,0.1,-1.3
'0:05.221',-1.1,0,0.1,-1.4
'0:05.222',-1.1,0,0.2,-1.4
'0:05.223',-1,-0.1,0.2,-1.3
'0:05.224',-1,-0.1,0.2,-1.1
'0:05.225',-0.9,0,0.2,-0.7
'0:05.226',-0.8,0,0.2,-0.3
'0:05.227',-0.7,0.1,0.2,-0.1
'0:05.228',-0.7,0.2,0.3,0.2
'0:05.229',-0.6,0.2,0.3,0.5
'0:05.230',-0.5,0.3,0.3,0.7
'0:05.231',-0.5,0.3,0.2,1
'0:05.232',-0.4,0.3,0.2,1.1
'0:05.233',-0.4,0.4,0.2,1.1
'0:05.234',-0.4,0.5,0.2,1
'0:05.235',-0.3,0.5,0.2,1
'0:05.236',-0.3,0.5,0.3,0.9
'0:05.237',-0.3,0.3,0.3,0.8
'0:05.238',-0.4,0,0.3,0.6
'0:05.239',-0.4,-0.3,0.2,0.3
'0:05.240',-0.5,-0.4,0.2,0.1
'0:05.241',-0.7,-0.5,0.2,-0.2
'0:05.242',-0.8,-0.6,0.2,-0.3
'0:05.243',-1,-0.7,0.2,-0.4
'0:05.244',-1.1,-0.8,0.1,-0.6
'0:05.245',-1.3,-0.9,0.1,-0.7
'0:05.246',-1.3,-0.9,0.1,-0.8
'0:05.247',-1.4,-0.8,0.1,-0.9
'0:05.248',-1.4,-0.7,0.2,-1
'0:05.249',-1.4,-0.5,0.2,-1
'0:05.250',-1.3,-0.3,0.2,-1.1
'0:05.251',-1.1,-0.1,0.1,-1.2
'0:05.252',-0.9,0.1,0.1,-1.4
'0:05.253',-0.7,0.3,0.1,-1.7
'0:05.254',-0.4,0.4,0.1,-1.9
'0:05.255',-0.1,0.5,0.1,-2.2
'0:05.256',0.1,0.5,0.1,-2.3
'0:05.257',0.3,0.5,0.1,-2.3
'0:05.258',0.5,0.5,0.1,-2.3
'0:05.259',0.7,0.5,0.1,-2.2
'0:05.260',0.8,0.5,0.1,-2.1
'0:05.261',0.9,0.4,0.1,-2
'0:05.262',0.8,0.2,0.2,-1.8
'0:05.263',0.7,0,0.3,-1.5
'0:05.264',0.6,-0.2,0.3,-1
'0:05.265',0.5,-0.4,0.4,-0.5
'0:05.266',0.4,-0.5,0.5,0.1
'0:05.267',0.4,-0.7,0.6,0.6
'0:05.268',0.3,-0.8,0.7,1
'0:05.269',0.2,-1,0.7,1.5
'0:05.270',0.1,-1.3,0.8,1.8
'0:05.271',-0.1,-1.5,0.9,2.1
'0:05.272',-0.2,-1.7,1,2.2
'0:05.273',-0.3,-1.9,1,2.4
'0:05.274',-0.3,-2,1.1,2.5
'0:05.275',-0.4,-2.1,1.1,2.6
'0:05.276',-0.5,-2.1,1.2,2.7
'0:05.277',-0.7,-2.2,1.2,2.7
'0:05.278',-0.8,-2.4,1.3,2.7
'0:05.279',-0.9,-2.6,1.3,2.6
'0:05.280',-1,-2.7,1.3,2.4
'0:05.281',-1.2,-2.7,1.3,2.2
'0:05.282',-1.4,-2.6,1.4,2
'0:05.283',-1.6,-2.5,1.4,1.8
'0:05.284',-1.8,-2.3,1.4,1.7
'0:05.285',-2,-2.3,1.4,1.5
'0:05.286',-2.1,-2.2,1.5,1.2
'0:05.287',-2.3,-2.2,1.6,1
'0:05.288',-2.4,-2.2,1.7,0.8
'0:05.289',-2.4,-2.2,1.8,0.5
'0:05.290',-2.4,-2.2,1.9,0.4
'0:05.291',-2.4,-2.2,2,0.2
'0:05.292',-2.3,-2.2,2.1,0
'0:05.293',-2.4,-2.2,2.2,-0.1
'0:05.294',-2.5,-2.3,2.3,-0.2
'0:05.295',-2.6,-2.5,2.4,-0.4
'0:05.296',-2.8,-2.7,2.4,-0.6
'0:05.297',-2.9,-2.9,2.5,-0.9
'0:05.298',-3.2,-3.2,2.6,-1.2
'0:05.299',-3.4,-3.5,2.7,-1.5
'0:05.300',-3.8,-3.8,2.8,-1.9
'0:05.301',-4.2,-4.1,2.9,-2.1
'0:05.302',-4.6,-4.4,3,-2.4
'0:05.303',-5.1,-4.6,3.1,-2.7
'0:05.304',-5.6,-4.8,3.2,-3.1
'0:05.305',-6,-5.1,3.3,-3.5
'0:05.306',-6.4,-5.3,3.3,-3.8
'0:05.307',-6.7,-5.7,3.4,-3.9
'0:05.308',-7,-6,3.5,-3.8
'0:05.309',-7.4,-6.3,3.6,-3.7
'0:05.310',-7.8,-6.6,3.7,-3.5
'0:05.311',-8.1,-6.9,3.8,-3.2
'0:05.312',-8.4,-7.1,3.8,-2.8
'0:05.313',-8.8,-7.4,3.9,-2.2
'0:05.314',-9,-7.8,3.9,-1.6
'0:05.315',-9.3,-8.1,4,-1
'0:05.316',-9.6,-8.4,4,-0.5
'0:05.317',-9.8,-8.7,4.1,-0.3
'0:05.318',-10.1,-8.9,4.1,0
'0:05.319',-10.2,-9.1,4.2,0.2
'0:05.320',-10.4,-9.1,4.2,0.5
'0:05.321',-10.7,-9,4.3,0.9
'0:05.322',-10.9,-8.8,4.5,1.1
'0:05.323',-11.3,-8.5,4.6,1.1
'0:05.324',-11.5,-8,4.7,0.9
'0:05.325',-11.8,-7.5,4.7,0.6
'0:05.326',-12.1,-6.8,4.8,0.2
'0:05.327',-12.4,-6.1,4.9,-0.1
'0:05.328',-12.7,-5.3,5,-0.5
'0:05.329',-13,-4.8,5.1,-0.9
'0:05.330',-13.4,-4.7,5.2,-1.3
'0:05.331',-13.9,-4.9,5.3,-1.8
'0:05.332',-14.4,-5.1,5.4,-2.3
'0:05.333',-14.8,-5.1,5.4,-2.8
'0:05.334',-15,-4.8,5.5,-3.1
'0:05.335',-15.2,-4.4,5.6,-3.4
'0:05.336',-15.5,-4.4,5.6,-3.5
'0:05.337',-15.8,-5,5.7,-3.7
'0:05.338',-16.2,-6,5.7,-3.8
'0:05.339',-16.6,-6.9,5.8,-3.8
'0:05.340',-16.9,-7.5,5.8,-3.9
'0:05.341',-17,-7.7,5.9,-4
'0:05.342',-17,-7.7,6,-4
'0:05.343',-17,-7.9,6.1,-4.1
'0:05.344',-17.1,-8.2,6.2,-4
'0:05.345',-17.3,-8.4,6.3,-4
'0:05.346',-17.5,-8.4,6.3,-3.9
'0:05.347',-17.8,-8.2,6.4,-3.9
